id,beta
245346945,-0.37614790547359733
776642052893409280,-0.3598743466621202
865234300190564352,-0.357429393534177
294395822,-0.37895611431178006
121194159,-0.36235059876295245
3892201042,-0.3496847442311043
798884972576833537,-0.3774101893575738
76599994,-0.36196693834812604
842351816465608704,-0.3490011072059924
3353030195,-0.3746370815914402
826478063286366208,-0.3623824761184603
811615099194605569,-0.36098265178896516
2285638022,-0.36429625386512227
845025344600113152,-0.3756574096346805
854684480501673989,-0.3573490836689207
195517768,-0.3420838976258209
4744709602,-0.35370358835828924
737610370165051392,-0.3510451110017981
332797921,-0.3750453749372523
515687640,-0.36608483050539425
91792123,-0.3514110990334141
125554142,-0.3744979771475506
1174667725,-0.35506858294222776
2160787430,-0.3439520527860651
881846306125295616,-0.3685722608717118
317796154,-0.35888591635962414
85434463,-0.35259392631994385
737200489872379904,-0.3667778831151757
20925566,-0.3642514261656844
38402979,-0.3469026615342981
896750997720236033,-0.36547608007400745
185563312,-0.35697044767104896
522408303,-0.37669266617706954
122089763,-0.35884592636494206
2742041209,-0.3647861600565847
110798310,-0.3682856419417336
2748543465,-0.35069485718781596
758910361781231616,-0.36158607047914076
722766303996416001,-0.34360533098212376
3981557008,-0.3707713207844407
72250659,-0.3536770332525418
715270656758312964,-0.3462431225608606
364219724,-0.36869125698371036
928987250297393152,-0.3596206384545433
742770280012128256,-0.3574145577255945
48665402,-0.3796278079127491
550479084,-0.3650499027423911
925472452792250369,-0.3488256333523473
2842072420,-0.3591012429277176
926562872792178689,-0.3493370294131011
18736229,-0.3754100754415571
165777773,-0.34945637011206404
735406570893398016,-0.36758274101531435
78372802,-0.35388472804373505
459343934,-0.3661527756690274
871834807092875264,-0.34985519521242914
828272176847523841,-0.37260844517609043
616609800,-0.33760046370525004
890477969252155393,-0.3743285319065033
780563401,-0.3609732202871648
36735292,-0.3450994714953258
863844064961200130,-0.3709984466940247
798832374905585665,-0.3511428127142881
2289447565,-0.3489783889569115
848660443468050433,-0.37140049581030976
4882231679,-0.3583476369250638
553936525,-0.3482390018115901
18308923,-0.37698268669371693
846253610027626496,-0.358464034872222
4274726715,-0.3484750369086047
2889549172,-0.37206526507553245
923278786820526083,-0.36772354528571644
3309277905,-0.34868844634002605
1643330173,-0.37075538767442306
559275034,-0.3635069220439176
3135976783,-0.35290806619368403
866757734875750400,-0.3579950125321683
566349525,-0.35260023031565924
168466658,-0.3518262972757875
884428501016875010,-0.358155994934876
203876160,-0.3666395079601204
920581074702491648,-0.3442632861101837
735443479493550080,-0.37232579204970434
864856599021727744,-0.35909464636732674
146438429,-0.344750805884063
340548453,-0.3701607267997763
123092320,-0.34983582371079325
827532501476372481,-0.36933229476040796
963922530,-0.34836693145164416
614438567,-0.34951094921691916
835957549123907584,-0.3651606637819556
918441206341922816,-0.3598935409952983
826439545,-0.3492147754149453
916434155700932611,-0.3535317117565989
992084186,-0.35470075383260896
462910674,-0.37151233765574165
119847832,-0.3505057101026624
865114227580784640,-0.3595090841884686
424795778,-0.35229021517427983
815599568981139456,-0.3679931642989889
793876317976526848,-0.35091946592305884
851930704975941632,-0.36687849938179296
554587890,-0.3527279723587193
3674480356,-0.34486934711016026
802460978663321600,-0.3543040608133015
273989113,-0.3550808844464734
885827216663339009,-0.3742979969204923
312469566,-0.34273076855248447
2801514920,-0.37048576699242997
750407584897724416,-0.35256461622525714
2909399513,-0.3485678256371385
873819277,-0.3695496950159231
1354273448,-0.3414902739585537
604161252,-0.35185930054791453
787757314925289473,-0.34858120320109004
812776061691957248,-0.36190860249187434
1617316813,-0.3617532519047577
907991481901862912,-0.3469836238106522
310213772,-0.36821433762360367
862770295219916802,-0.3534880345300568
71610575,-0.3417960455601452
365463164,-0.3724581266602173
3167058740,-0.3677921040070678
55821199,-0.35510333045193154
718409564333424640,-0.363200255262159
293514798,-0.3611340139267832
53972273,-0.35017660127376243
213641071,-0.36806397350151726
898595380379648000,-0.3480249318492639
1510513753,-0.36372297897881445
760440322535092225,-0.3597453598280071
865514938856488961,-0.3579210087904066
739845875757948928,-0.3510852145575905
8596932,-0.35433839738177436
35446243,-0.3672405712846508
910764645807423489,-0.3569917369436074
829661918268911616,-0.36340147268828255
1092698880,-0.3465611098235755
866081129048223746,-0.3482063722207142
2908065933,-0.36928427734750746
882222476046061569,-0.35025720255926307
849195113058271233,-0.34664188042935157
4121844143,-0.34841541322189157
913317496668803072,-0.36301240714621325
126965585,-0.35116933730982663
3346616981,-0.3548493385007016
2181648622,-0.3594980606704867
718015619027845121,-0.3580976288339096
3828772395,-0.35266349135508657
4835489901,-0.3596960063937546
911178226533388288,-0.357514535945017
1449777044,-0.3627885029995025
858264449240715265,-0.3492286490550154
719942700921962497,-0.35268452270392786
174751878,-0.3630742231454511
838361384207409153,-0.366379459346251
145214869,-0.3564905253352827
482179923,-0.3572862418006573
2336493002,-0.3601913740780218
242246192,-0.34967294643881475
3599950097,-0.3658499774790577
226863282,-0.36298724020094325
64406740,-0.36390626469909204
403326278,-0.35359780780542377
493161163,-0.3627533664780855
883602030,-0.3548519195358365
379718466,-0.3501565312409202
864547522588667909,-0.3521084187543875
3791340735,-0.35476240111356294
180868769,-0.3541347382639758
13089092,-0.3574787630950376
599126859,-0.36047683121261387
3984895581,-0.3641063341149563
818388328106102785,-0.35163565894941323
4023176001,-0.3490851909405046
846820606666592257,-0.36748245859455997
908194214495838208,-0.35116265649667244
392213353,-0.3440347324174771
864604534122962944,-0.35675444145786955
907884745320751104,-0.36328115562862257
3261050166,-0.35303272030269367
542668138,-0.35223847214368026
17406428,-0.37170451153222345
360019007,-0.3572710705977595
52345813,-0.340534634455703
906867859778936832,-0.3540459425540555
800435764966215680,-0.3607281310958358
760424379713019904,-0.3583140400151667
823092258484453376,-0.35246716183261007
789818237278048256,-0.3545478334199699
843748232,-0.35554043247579464
904209857783455745,-0.3629237223677407
602072723,-0.35817994562878197
139370215,-0.34282261272850667
2425782301,-0.3617769956757962
889946488712908800,-0.35888184182252747
3688276035,-0.3619949103358928
862899460644495360,-0.3520998492944154
903001504499601417,-0.35159719930240135
819120144429490176,-0.35907173208233384
2867273542,-0.3530036235836421
776100875118927876,-0.3620357335567835
706190116306460677,-0.36039411517296593
243119158,-0.35174327843972936
1125524035,-0.35186482876690434
492406574,-0.3559774359873967
866378333537357825,-0.34391414536102216
730715204,-0.36307227448141405
835255749202821122,-0.3643925922348254
901751343462961152,-0.3506126718404621
215044001,-0.3569363858914362
790240589124173824,-0.36249329224982524
891522350,-0.3593217828452475
1689595790,-0.36448726207975995
123577612,-0.34619374060844027
114306039,-0.35765103145630023
714132239500591104,-0.34680587624119225
84367800,-0.35022463840710644
1735444772,-0.35869333398903785
901104583673610241,-0.3513062719519832
125748337,-0.37029516184713784
15724510,-0.35792322135879195
432900357,-0.3606843074345772
981025554,-0.3525124169243535
809780052980301829,-0.35513538539168715
19344758,-0.36185828511554197
844839972460900352,-0.35831960258616696
289392952,-0.3577217719425436
