barbarapompili,delphinebatho,stanguerini,gilbertcollard,fderugy,oliviagregoire,lachaudb,sylviapinel,bretonxavier,aquatennens,mauriceleroy,brunobonnelloff,faureolivier,yvesjego,francois_ruffin,alexiscorbiere,dupontaignan,b_perrut,auroreberge,duboismarianne,valerie_rabault,robinreda,phgosselin,sebchenu,olivierveran,franckriester,jeanlassalle,solere92,damienabad,dbaichere,ericwoerth,yfavennec,carolinefiat54,eciotti,richardferrand,sophie_auconie,emenard34,ericcoquerel,mathildepanot,juanico,sergeletchimy,g_peltier,marinebrenier,valerieboyer13,fm_lambert,slefoll,mlp_officiel,phdumont,pybournazel,villanicedric,claudegoasguen,guyteissier,clem_autain,ebareigts,glarrive,jlmelenchon,louis_aliot,sylvainmaillard,gillescarrez,constancelegrip,olivierdussopt,pierr_person,ugobernalicis,sebastienhuyghe,dfasquelle,luccarvounas,ademontchalin,jclagarde,c_decourson,guillaumegarot,s_trompille,gabrielattal,pau_langevin,andrechassaigne,sach_he,lauredlr,desarnez,brigitte_kuster,vigierphilippe,laetitiaavia,marclefur,dubymuller,le_figaro,pcf,libe,20minutes,franceinsoumise,mediapart,atlantico_fr,le_parisien,eelv,rue89,partisocialiste,lobs,enmarchefr,lexpress,fn_officiel,lesechos,lesrepublicains,slatefr,lepoint
-0.793978618593401,-0.9467803465161639,-1.0580981749937606,-1.038289431822954,-0.8950703237595333,-0.9317521713075859,-0.9937059992595916,-0.8763334920431038,-0.9697453255476451,-0.9147154384733911,-0.8308039127431933,-0.8797647535467532,-0.8988895138628049,-0.7767549908522247,-0.7465330499945237,-0.6739654701281138,-0.7085932132725681,-0.49108872478975846,-1.227665002130952,-1.14379315037466,-1.3450188088814334,-1.381285824572143,-1.3206031055509084,-1.3719487714627956,-1.3507557228486562,-1.2912374513645322,-1.3550148770979238,-1.397406193478291,-1.2315518067643696,-1.3647071411819354,-1.3477979132871305,-1.1827691351154916,-1.1315118385551128,-1.1935431762027435,-1.219891728096405,-1.2961224652989727,-1.6376369914067472,-1.6229087733471717,-1.6310621492465747,-1.5559981962177902,-1.4401469179058233,-1.5227899919065084,-1.505127589019008,-1.5563981991929279,-1.5509659473147503,-1.4228170730451983,-1.4026483829219865,-1.5234380400292185,-1.631140492644586,-1.6083119788265248,-1.5036796547376734,-1.5375312506463816,-1.58081528641943,-1.578544520619935,-1.6507456366584263,-1.58540247949165,-1.5984976884024007,-1.6517851626733075,-1.8415710885029593,-1.493828622016154,-1.0793232748490655,-1.8094405346322042,-1.9259592787870345,-1.9402975397344122,-1.8862286272502575,-1.561368621871426,-1.4148550504705129,-1.8404771312584196,-1.8017618243448568,-1.6544825742884444,-1.580247987395379,-1.6478691551696112,-1.570751130287216,-1.7233629544991764,-2.0249291843809645,-2.010205046637603,-2.1164307528362953,-2.0636300953804985,-1.9602758220263141,-1.856204455112353,-1.921882936829432,-1.77333418661236,-1.9339052655319668,-1.8069629821841582,-1.7456733309155368,-1.793655942492873,-1.8584742871570328,-1.9543779306419777,-1.9852626126690196,-1.9826664345251073,-2.0359896010170595,-2.1006436488740703,-2.1932616227717676,-2.1806525649614796,-2.0960521108529373,-2.16762551340273,-2.1518943252199474,-2.135308951928727,-2.2345793276457138,-2.251445047562128,-2.3151233539168445
-1.3097649576281303,-1.3995324339269823,-1.4981252933499856,-1.5169668123757383,-1.3559111980952443,-1.3485530241486554,-1.5049828203021391,-1.3686746321399632,-1.357488373823526,-1.3849862163052622,-1.2916499428040653,-1.344339310631887,-1.3736063503037368,-1.2100753094489727,-1.2321985859770728,-1.114685404613292,-1.1879719451931872,-0.9267789033565409,-1.638951131863327,-1.6161943637173792,-1.8227948420781175,-1.7529802068602245,-1.8005360368740186,-1.8556398632723616,-1.8177206031282378,-1.7510190606107234,-1.8317682935286852,-1.8263422589353977,-1.7304205735544917,-1.827028449944138,-1.787833216407042,-1.658951974165184,-1.5720107215337764,-1.6255659946546512,-1.6984979828668914,-1.7884105942682609,-2.098764818045431,-2.072169789504288,-2.061315943525894,-1.9918916032840386,-1.8628478174975447,-1.9772922743042376,-1.9792341761188745,-2.0798435196024805,-1.9610367618342501,-1.848891531974155,-1.8826035198741033,-2.0009648890415566,-2.0940900971338685,-2.0786450004168353,-1.985622670673429,-1.9637790367399945,-2.0363994225252315,-2.0227481913978074,-2.06285669548141,-2.053858808028543,-2.0482723211862,-2.1526166769895227,-2.336911928130499,-1.970241871545934,-1.5568003398380892,-2.258904974376615,-2.4122797184741573,-2.413959533146998,-2.329474470536733,-2.0142407875102615,-1.886522392104992,-2.3828666751833567,-2.2546668637954452,-2.115925009870376,-2.0822976867985306,-2.086608428059754,-2.0306211221570534,-2.2045414583534497,-2.50194646690884,-2.4278208689582956,-2.4973746766686786,-2.457973109756109,-2.3675904347587853,-2.311839548677744,-2.3707625682540563,-2.2056600166408065,-2.4235879156924973,-2.297819387827877,-2.209124754196866,-2.193714075473243,-2.285869493895277,-2.429026216337447,-2.4863905531872312,-2.484876427450453,-2.5617279374962005,-2.5277166912482714,-2.5825479243742,-2.660102263093793,-2.575829569474108,-2.6510452719881537,-2.6644022826646805,-2.656115204093854,-2.662839190570579,-2.708493456911347,-2.725231332597455
-1.1661895654247376,-1.2875330152903377,-1.435951188665489,-1.3989728936810486,-1.217563626880363,-1.308876122092766,-1.3293535065994249,-1.2658409681428904,-1.308549426801964,-1.277518896487549,-1.2037592090050946,-1.2180341030761088,-1.239832110504674,-1.1132866539783712,-1.1554411436414016,-1.0230245515694683,-1.0386985637402886,-0.8020330209925771,-1.5920479450918317,-1.4934470670045132,-1.7102510799579962,-1.732723219870468,-1.690442251489158,-1.7579098730359817,-1.707290775533792,-1.6019001124210384,-1.6867341016555961,-1.732642209269581,-1.5972333896276711,-1.7260017770235296,-1.6588417134303812,-1.6128920053456006,-1.4538015982848724,-1.5205557620208483,-1.5605675304548596,-1.6799452070575935,-2.0032922001949025,-1.932791269322037,-1.9951810227699085,-1.8545324035191142,-1.7636413019287145,-1.882404325260282,-1.8636226298547587,-1.9892353423647537,-1.81368602332749,-1.8044598381009305,-1.764355897375827,-1.8858528300942283,-2.001670311907105,-1.9627314668772573,-1.8428547652120109,-1.8376590056440985,-1.9227727645869803,-1.9034683401191541,-1.9826558597219983,-1.9293782523322422,-1.9660240186311975,-1.9974876115115214,-2.1845830582203285,-1.8098460200406588,-1.4272992963393991,-2.1414211346592147,-2.312062670956011,-2.3431891415623287,-2.293007189659447,-1.9226546625651764,-1.7767611479553724,-2.2025688566027664,-2.0981029584541013,-2.0349999534631764,-1.9254866581080559,-2.000949694367164,-1.9532270954516402,-2.0993244505616833,-2.3823057734547555,-2.3766001934983794,-2.4674439527263137,-2.352868322668324,-2.241588938271058,-2.198944422795778,-2.281911786216772,-2.1205460976873463,-2.2735520133637466,-2.1959498983926635,-2.1322364837757233,-2.1573791938382603,-2.2252876398006536,-2.3640817836787407,-2.347730341784188,-2.351563895104235,-2.4410858846449814,-2.424626677061733,-2.485360984325105,-2.486990604700301,-2.488082994186678,-2.4939083456830846,-2.5983243960539086,-2.5520850827339148,-2.5958814496385165,-2.6038115470426106,-2.6286617034020265
-0.7578537455122031,-0.8764223695240417,-1.0066495228282946,-0.948558583743787,-0.7828117491965162,-0.8672490395775104,-0.9203782299736202,-0.816508463494378,-0.9002608847061636,-0.8611078858031895,-0.7232519169598495,-0.7894170718716786,-0.8251484716839435,-0.6701632166200762,-0.6741883135087463,-0.6156735515007161,-0.6294626605755583,-0.3922060351903075,-1.1512575356692343,-1.0752894359545209,-1.294309881550228,-1.2986412474447655,-1.276159272980771,-1.289265508227992,-1.3058463377971863,-1.1841590745676278,-1.2580102298193865,-1.31513575516415,-1.1599636812195795,-1.293122738411597,-1.2836792635177112,-1.164080548751806,-1.056489076392587,-1.1326785780635427,-1.1391411254953463,-1.232680110697383,-1.5553131197381527,-1.4985491948008978,-1.498154347146459,-1.431299067036108,-1.359774722771208,-1.4823740609911804,-1.4217285188211213,-1.5346338977648564,-1.4145922200814713,-1.3701023584558072,-1.3265046594931347,-1.455431392562403,-1.535257414668839,-1.5294569908698274,-1.4455360936302384,-1.4493821985571653,-1.5327884288681695,-1.525658334966945,-1.6190357422288193,-1.4676861236738954,-1.4791112036405432,-1.5559097251306746,-1.7637804926676157,-1.38081111043449,-0.9960912661792249,-1.7403992690689103,-1.8563150993044626,-1.8884734171403603,-1.7993688051014798,-1.5130215275788192,-1.337434693006956,-1.758100636507279,-1.72583922667523,-1.5966887328788735,-1.448333216946835,-1.5989565607632745,-1.4847520648814625,-1.664058531336539,-1.9633342732648824,-1.9033192600678435,-2.01947056258493,-1.9191337763982392,-1.8314479725598962,-1.8147039640342597,-1.841127390560743,-1.7398916375263018,-1.8527886193532912,-1.7420910856698917,-1.6509250211632958,-1.7455790239274578,-1.760909267473447,-1.8763346597703732,-1.9396234482977714,-1.9544246353390584,-1.963859140303123,-1.9925022215139243,-2.0828714536989095,-2.0728792020635782,-2.074931764540827,-2.1021599862418756,-2.095105193805431,-2.116022714826919,-2.1163733571348833,-2.2130577390956874,-2.2473005945865254
-0.7568053701517279,-0.8646724811449934,-0.9827394374851621,-0.9992032287009811,-0.8315371393266207,-0.8799350897428524,-0.957108025169753,-0.8572759402482322,-0.9020043019027808,-0.8839710572962192,-0.7467463600566165,-0.8096293489384992,-0.8408710920408234,-0.6611543516977667,-0.7023588284822768,-0.6278575145892826,-0.6408405960411323,-0.39202080698048153,-1.1539470199760502,-1.062009688148024,-1.299094628985006,-1.2907673830234525,-1.2387959628846028,-1.3410428097790938,-1.2929209637651382,-1.212109356394751,-1.302306860303912,-1.2967403807046716,-1.2421194236111892,-1.3297514390791974,-1.2531768450034113,-1.187551418142986,-1.0609385809371776,-1.107784952161676,-1.1418560677458893,-1.2159891135465817,-1.580970755981341,-1.5302185987529002,-1.5717756032849148,-1.4552151515855967,-1.3743485631265215,-1.4742647262403852,-1.4924690047200415,-1.4934153466259878,-1.4235275660545006,-1.3861746989369008,-1.3568863884849258,-1.482550997918668,-1.5410762891857022,-1.515182601535888,-1.4529734434808697,-1.4359098985655023,-1.5482882358641314,-1.5121177319244774,-1.569171182872797,-1.5147430294047468,-1.5409167099624366,-1.5904761437423187,-1.738203429339083,-1.3869380002593517,-1.079108186784318,-1.7235227854542996,-1.8879964631442976,-1.9220012225684007,-1.808759390269995,-1.504890080641757,-1.341657549731673,-1.8085807660176225,-1.6813166395147066,-1.5992309196022103,-1.4809134847119125,-1.6042816169009886,-1.4717734804429419,-1.6902182040267892,-1.998741571668544,-1.9471222999108064,-2.0008759494072894,-1.9596880190100885,-1.889244028712687,-1.770144946309565,-1.8436186554650378,-1.7154386654599,-1.8934661235765171,-1.7529900630853912,-1.6710483539953171,-1.7482001727316903,-1.788658800256069,-1.9144332964665918,-1.951161376236099,-1.9451191029629533,-2.012994947655587,-1.9982721599090716,-2.104170816281343,-2.1597182121043486,-2.07000233881759,-2.096031586284476,-2.141093031059815,-2.1191394304482074,-2.1288789718738523,-2.1718285227384526,-2.2379194813522796
-1.1231216489764688,-1.2412283122609742,-1.37286398102116,-1.3700551424285634,-1.1416669688410532,-1.2355062655558597,-1.3269606845162387,-1.2261781984091495,-1.2623749730830582,-1.237008517371313,-1.1264786898509929,-1.1677269445041527,-1.2193098561228102,-1.0138000272091294,-1.0641537711759488,-0.9508268730609748,-0.9935506412557787,-0.7661332982671699,-1.507929550510634,-1.4516855116686707,-1.6623493514628138,-1.6490894504117317,-1.6518251421277619,-1.6981422179300567,-1.658092842677454,-1.5620349365139583,-1.6426348640056003,-1.6669378959708718,-1.5512470518577814,-1.65531397348542,-1.637724695245804,-1.5558419866838897,-1.4396783573056622,-1.4739937890556332,-1.482736511674941,-1.615226514867824,-1.9528526602239011,-1.9071786048543344,-1.9032923391778513,-1.7973146491506984,-1.7459860622134622,-1.822267493322887,-1.8309434474059005,-1.883195421799296,-1.839078060601612,-1.7394909432584449,-1.702145159103701,-1.8241313363418419,-1.8457978957141694,-1.9217998315358882,-1.7687004877044905,-1.8113991713052038,-1.9060643282570637,-1.8270901575064233,-1.9098300478280634,-1.8481183777267076,-1.8420190698988101,-1.9634421932379313,-2.1435307636421492,-1.752772421376395,-1.412313701103284,-2.0662401600471956,-2.2600530900032982,-2.243146491803573,-2.264274504745746,-1.8795921298843359,-1.7247662360782547,-2.1955068669700104,-2.0803061594300942,-1.989754356072107,-1.852057040561629,-1.930303229331182,-1.87678146289647,-2.020206638121369,-2.3940495015990524,-2.3087730590001807,-2.363028669449934,-2.300366903582382,-2.2149453946559223,-2.1241453530624983,-2.195384657138145,-2.0640826046704666,-2.233684416276594,-2.105788382957912,-2.0459980810805045,-2.0673785335775285,-2.139351609061215,-2.3169908406632604,-2.2902758618170784,-2.302972430580013,-2.3029516999940314,-2.3430423125825497,-2.43316322476941,-2.5199618850230032,-2.4647445102728125,-2.55474839798728,-2.5219232247853447,-2.5428934223826563,-2.553811141057633,-2.566279548458699,-2.6038517736320976
-0.6212004882239394,-0.7400610673832186,-0.8491560794191899,-0.8484076297722216,-0.6676009061616495,-0.684064035609002,-0.8036554701503792,-0.6878878414205589,-0.7633583110934477,-0.7646836462584661,-0.6366312041989519,-0.7120341537853594,-0.733380641282119,-0.545387969169539,-0.5841215459183463,-0.4812550858293092,-0.5173752058670653,-0.2997737430547058,-1.049564104589211,-0.9509969850644522,-1.1811537945186843,-1.1840527497843607,-1.1487625521882971,-1.2013664206616381,-1.2080304372133241,-1.0547843146755882,-1.1355583608385307,-1.160867338702016,-1.0409982934840585,-1.1880142951037282,-1.1679228541974318,-1.035221490334851,-0.9714124148728301,-0.9781036070281398,-1.0541572304189255,-1.1035387088184605,-1.457539885130511,-1.4132271294138639,-1.3907479924226818,-1.3278719143343929,-1.2176993351317764,-1.346051500338232,-1.2760668665838644,-1.3702589373527942,-1.3343025805392144,-1.2800409995087445,-1.266550989662562,-1.3624925351480761,-1.4168275734981082,-1.4021754295963516,-1.3076507155792085,-1.3028185552891496,-1.3524576040580836,-1.3993576387934126,-1.4319271447371604,-1.393058368433609,-1.3728832570990943,-1.479906215101935,-1.6599719070526446,-1.2611414373349308,-0.8925223797036856,-1.623662675530516,-1.7617429754192049,-1.810759576619683,-1.696588672558755,-1.388037762717867,-1.180170754114087,-1.6894535571208678,-1.628262467362241,-1.4520131678187407,-1.3870234244483854,-1.4879731229418518,-1.3830361412658971,-1.5269280481778071,-1.8227870617752089,-1.7962936839748285,-1.8435372015631288,-1.8286502394482913,-1.766412480748135,-1.669552759616105,-1.7017885513112894,-1.586913391212085,-1.720632801176993,-1.5952668295217078,-1.5976446383906213,-1.6135594194811442,-1.65748339431399,-1.7908528367486043,-1.7938119860178232,-1.8158229942719137,-1.838982885048316,-1.890693383144227,-1.961916540170765,-1.9125787438199735,-1.9279014255750089,-1.957189572839091,-2.0073656603388748,-1.9676487553285886,-2.043603168653109,-2.045658993789947,-2.1529761620154573
-1.177594181484492,-1.301946403066415,-1.437652060638983,-1.3827705330055353,-1.228508374119872,-1.3136927493593278,-1.3684698392699715,-1.2584107582965838,-1.2906153396329174,-1.2835619244329304,-1.172208718308083,-1.2366909120289689,-1.2684637048819036,-1.0986447957420573,-1.1224642058828198,-1.0114758221767455,-1.0503846061770374,-0.816186091259577,-1.5689397826914577,-1.4941681455044247,-1.6926365997553,-1.7823130683863888,-1.6982583919378078,-1.7457583883396683,-1.728781935045841,-1.6311985724506226,-1.69562514053861,-1.6999140764364686,-1.6385908584425468,-1.7452209125611835,-1.6965764035364785,-1.5649575953506685,-1.4799747608398444,-1.5265757355832734,-1.556617726285887,-1.640019174360652,-1.9601168356970013,-1.965578830542037,-1.9598577930446943,-1.8486026728844807,-1.8057199852807682,-1.9121872497543397,-1.8245914255423166,-1.9276356667117303,-1.8786276410201295,-1.7986088084362675,-1.7821480498425335,-1.8535848021468484,-1.9336165973958475,-1.9454326381230096,-1.8579228510339867,-1.8062562680477836,-1.9614990107670534,-1.8666783367049962,-2.0182320066238977,-1.937546324046511,-1.9818558248799005,-2.027735458573549,-2.214040682113629,-1.8259555158003926,-1.4879161739434832,-2.1633687566086697,-2.27397555005612,-2.2705150196277004,-2.2610659359451626,-1.9133345195783793,-1.755819455066354,-2.2381161211171263,-2.15156169283796,-2.037092313564232,-1.904838108859848,-2.0178631514089918,-1.9072928774207465,-2.109679650433249,-2.4097689120086336,-2.343645335691549,-2.410456592517268,-2.38638341331715,-2.3097341760752266,-2.1537012618559435,-2.2935717946834826,-2.1207837612979517,-2.35493144021728,-2.1904243816671523,-2.1149980030172113,-2.1027864073204463,-2.170579117394051,-2.329208554013425,-2.380052196746881,-2.420067107781694,-2.399102254060621,-2.4465069822784784,-2.4549171989389023,-2.5070326291328664,-2.4467671376931106,-2.51040868267385,-2.5806850921864037,-2.510213467528483,-2.5696921729739293,-2.5916267528876666,-2.671024766691183
-1.086487401501129,-1.2170467403601901,-1.340800872037536,-1.357336809618061,-1.173048340864581,-1.188494300410505,-1.3148774922161022,-1.1833026970391534,-1.2523528862539846,-1.2335579218936452,-1.1014797637675975,-1.1764119633093746,-1.2198511894631896,-1.0188166475686065,-1.0635817263897709,-0.9926309562599216,-0.9934885348389175,-0.7593510627870487,-1.5430353824945735,-1.455410147639245,-1.661676020155612,-1.6588914490040558,-1.6359733476322957,-1.699473715485474,-1.6688916585422673,-1.566908621255182,-1.6335199891281609,-1.6625463488905465,-1.5760780372414966,-1.6684818692193664,-1.6437630673527184,-1.5131630212569827,-1.4169283917359985,-1.5077415108668115,-1.506698725043953,-1.635551724054453,-1.9450415052618943,-1.9406127024344162,-1.9019740559236944,-1.8148550162775734,-1.7513152854604084,-1.8294137646231399,-1.7961937389012754,-1.8832463646512558,-1.8094844669229215,-1.7158722765474432,-1.7271874352785657,-1.7938036259085124,-1.8880713407398106,-1.885730441271088,-1.7843580898835032,-1.782969742002459,-1.8820608719396998,-1.853743657975393,-1.9185277174966953,-1.8754339681772914,-1.8434177329149708,-1.9370134254313993,-2.1259464324951787,-1.7301426366125539,-1.338966038606466,-2.1113389910659968,-2.262536467169805,-2.286887252420198,-2.240571811362895,-1.8787946222268515,-1.7217165779008383,-2.134938230403741,-2.0744473017236253,-1.9892602730268247,-1.849293696409679,-1.939787785214218,-1.8789403864882677,-2.0237435341913503,-2.325436799831217,-2.2775138188718866,-2.355450510707849,-2.307077694385932,-2.266170809904393,-2.1692518368928937,-2.1849101307142926,-2.0830613357061747,-2.2818219457294866,-2.0669942979832046,-2.0429173238418703,-2.075247146379715,-2.1447009659646357,-2.2887093725608723,-2.3420133721824343,-2.306662595646639,-2.319924497571392,-2.3563539539412988,-2.4335246196265126,-2.4471175362159707,-2.4201011253346905,-2.4750538077546067,-2.390570713639284,-2.4888624601366303,-2.5463557306195277,-2.5447920829289954,-2.6287965472566106
-1.1572240198177137,-1.3181343456289147,-1.4084134381284266,-1.40559911184749,-1.2149415481534687,-1.2656659601184024,-1.3679729219014716,-1.2669387299902464,-1.2709006324702588,-1.2611079340169948,-1.151452517251239,-1.2274832027249258,-1.2681595766299933,-1.069873270886906,-1.1174905189543745,-1.0111384945635429,-1.0243795488668381,-0.7835677012593308,-1.5847639980523007,-1.5016684689249535,-1.6918368577917737,-1.7447473562350206,-1.6710867443377893,-1.7416752786308245,-1.7485667654995614,-1.616149284586842,-1.7108458327922529,-1.7326398740151234,-1.5947000881203397,-1.7291245764047838,-1.6906141313457514,-1.5566101983013259,-1.490363546868777,-1.5080636875849485,-1.5467414636668182,-1.6676789953538966,-1.9970623751006238,-1.9750766816875363,-1.972558852773157,-1.8916242602441324,-1.7808436927510611,-1.863483210700384,-1.8500654496070508,-1.9611542049142896,-1.8589151756977906,-1.8108266704691003,-1.7443353162687483,-1.875286125121555,-1.9524472896470093,-1.975110950247246,-1.8571599016649112,-1.882189584749218,-1.9255156014089492,-1.9253281823350643,-2.0071826927925396,-1.9007038741198754,-1.9594385952333153,-2.0150560230795693,-2.222764449811278,-1.872890627883189,-1.493460512484417,-2.1490032236729526,-2.342030914663814,-2.3328332425666956,-2.3264614558270966,-1.965967321399186,-1.7738769972721253,-2.163231487019347,-2.1307563026534764,-2.0286220386877005,-1.8883387325764167,-2.006831290559714,-1.8810023214936553,-2.07319558609438,-2.400544483890861,-2.3510760531742183,-2.3968970878941693,-2.370566209734549,-2.2842453660670095,-2.1939188913179275,-2.2724073996504552,-2.102485405242175,-2.2862009644564183,-2.135393796146984,-2.142488799898763,-2.1713605232255233,-2.1893090996416427,-2.3211085786609513,-2.3757458344652647,-2.3456203784188405,-2.392581385619166,-2.4220363977936996,-2.499567316573464,-2.5065433333437013,-2.506375133479472,-2.5371596735697626,-2.4831943372403646,-2.539132903253179,-2.594018035128237,-2.555266988084421,-2.624588050847031
